format,media,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
CD,physical,0,0,0,0,0,0,0,0,0,0,17.2,103.3,389.5,930.1,1593.6,2089.9,2587.7,3451.6,4337.7,5326.5,6511.4,8464.5,9377.4,9934.7,9915.1,11416,12816.3,13214.5,12909.4,12044.1,11232.9,11446.5,10520.2,9372.6,7452.3,5471.3,4318.8,3389.4,3100.7,2485.6,2123.5,1854.1
CD Single,physical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,6,35.1,45.1,45.8,56.1,110.9,184.1,272.7,213.2,222.4,142.7,79.4,19.6,36,15,10.9,7.7,12.2,3.5,3.1,2.9,3.5,3.2,2.4,3.8
Cassette,physical,76,87.2,98.8,145.7,249.6,449.8,580.6,705,1062.8,1384.5,1810.9,2383.9,2411.5,2499.5,2959.7,3385.1,3345.8,3472.4,3019.6,3116.3,2915.8,2976.4,2303.6,1905.3,1522.7,1419.9,1061.6,626,363.4,209.8,108.1,23.7,13.1,3.7,3,0.9,0,0,0,0,0,0
Cassette Single,physical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,57.3,194.6,257.9,230.4,298.8,298.5,274.9,236.3,189.3,133.5,94.4,48,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LP/EP,physical,1246,1356,1485,1663,2195.1,2473.3,2057,2200,2341.7,1925.1,1689,1548.8,1280.5,983,793.1,532.2,220.3,86.5,29.4,13.5,10.6,17.8,25.1,36.8,33.3,34,31.8,27.7,27.4,20.5,21.7,19.3,14.2,15.7,22.9,56.7,63.8,88.9,119.4,160.7,210.7,314.9
Vinyl Single,physical,190,194,211.5,245.1,245.1,260.3,353.6,250,256.4,283,269.3,298.7,281,228.1,203.3,180.4,116.4,94.4,63.9,66.4,51.2,47.2,46.7,47.5,35.6,25.7,27.9,26.3,31.4,24.9,21.5,19.9,13.2,9.9,4,2.9,2.5,2.3,4.6,4.7,3,5.9
Music Video,physical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.4,172.3,118.1,157.4,213.3,231.1,220.3,236.1,323.9,508,376.7,281.9,329.2,288.4,399.9,607.2,602.2,451.1,484.9,227.3,209.6,177.6,151,116.6,104.7,90.5
DVD Audio,physical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8.5,8,6.5,11.2,2.4,2.8,1.2,1.6,0.9,0.3,0.2,-0.5,2.14
SACD,physical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,16.6,10,5.5,3.6,3.1,2.4,1.7,1.5,1.3,1,0.8
Other Tapes,physical,15.6,13.3,10.2,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 - Track,physical,489,549.2,583,678.2,811,948,684.3,527,313,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Download Single,digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,363.3,580.6,811,1032.2,1172,1336.4,1522.4,1623.6,1567.6,1409.6
Download Album,digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5,135.7,275.9,497.4,635.3,744.3,872.4,1070.8,1204.8,1232.1,1150.8
Kiosk,digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9,2.6,2.6,6.3,6.4,2.7,3.7,6.2,2.6
Download Music Video,digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,19.7,28.2,41.3,40.9,36.6,32.4,20.8,16.7,13.6
Ringtones & Ringbacks,digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.6,773.8,1055.8,977.1,702.8,448,276.2,166.9,98,66.5
SoundExchange Distributions,streaming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,20.4,32.8,36.2,100,155.5,249.2,292,462,590.4,773.4
Paid Subscriptions,streaming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.2,206.2,234,221.4,206.2,212.4,247.8,399.9,639.2,799.1
On-Demand Streaming (Ad-Supported),streaming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.8,170.9,220,294.8
Synchronization,streaming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.2,188.7,196.5,190.6,189.7,189.7
