format,medium,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
CD,physical,0,0,0,0,0,0,0,0,0,0,40.9,235.4,857,2009,3321,4182.2,4940.3,6251.9,7539.6,8987.7,10667.7,13521.3,14566.7,14989.8,14624.7,16580.2,18211.8,18166.9,17256.5,15849.2,14452.3,14345.1,12752.2,11006.1,8508.8,6016,4765.7,3679.8,3263.3,2562.9,2157.9,1854.1
CD Single,physical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,-1.3,10.9,61,76.1,75,89.6,172.3,277.8,402.2,309.6,316,196.2,106.1,25.8,46.3,18.8,13.2,9,13.9,3.8,3.4,3.1,3.7,3.3,2.4,3.8
Cassette,physical,405.2,418.7,434.7,606.2,975.1,1633.2,1893.2,2025.5,2767.9,3396.5,4304.3,5431.7,5305.7,5398.9,6167.8,6774.1,6387.7,6289.5,5248.5,5258.3,4777,4754.5,3578.4,2874.8,2246,2062.2,1508.5,860.6,485.8,276.1,139.1,29.7,15.9,4.3,3.4,1,0,0,0,0,0,0
Cassette Single,physical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,114.7,371.5,467.1,400.5,504.2,489,439.1,367.1,285.6,196.9,137.1,68.2,6.3,-7.1,-2.1,0,0,0,0,0,0,0,0,0,0,0,0
Vinyl,physical,6643.5,6511.4,6534.4,6919,8575.2,8980.4,6707.5,6320.6,6098.6,4722.7,4014.5,3528.9,2817.3,2123.3,1652.8,1065,420.6,156.7,51.1,22.8,17.4,28.4,39,55.5,49.1,49.4,45.2,38.1,36.6,27,27.9,24.2,17.2,18.4,26.1,62.3,70.4,96.5,125.7,165.7,214.2,314.9
Vinyl Single,physical,1013.1,931.6,930.7,1019.8,957.5,945.1,1153,718.3,667.8,694.3,640.1,680.6,618.2,492.7,423.7,361,222.2,171,111.1,112,83.9,75.4,72.5,71.7,52.5,37.3,39.6,36.2,42,32.8,27.7,24.9,16,11.6,4.6,3.2,2.8,2.5,4.8,4.8,3,5.9
Music Video,physical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.3,312.1,205.3,265.6,349.5,369.2,342.2,356.2,477.7,737.8,535.3,387.5,440.1,379.5,514.5,761,730,529.7,553.6,249.9,231.3,192.8,158.9,120.2,106.4,90.5
DVD Audio,physical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11.2,10.3,8.1,13.6,2.8,3.2,1.3,1.8,1,0.3,0.2,-0.5,2.1
Super Audio CD,physical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8,20.8,12.1,6.5,4.1,3.4,2.6,1.8,1.6,1.3,1,0.8
8 - Track,physical,2607.3,2637.2,2565.4,2821.7,3168.2,3442.1,2231.4,1514.1,815.2,88.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Download Single,digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.9,440.4,681.8,926,1135,1293.3,1450.9,1602.2,1674.1,1593,1409.6
Download Album,digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,164.5,324,567.9,698.5,821.3,947.1,1127,1242.3,1252.1,1150.8
Kiosk,digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,2.2,3,2.9,7,6.9,2.8,3.8,6.3,2.6
Download Music Video,digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,23.1,32.2,45.4,45.1,39.7,34.1,21.4,17,13.6
Ringtones & Ringbacks,digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,908.7,1205.5,1074.4,775.5,486.4,290.7,172.1,99.6,66.5
SoundExchange Distrib.,streaming/service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,24.7,38.5,41.3,110,171.6,270.5,307.3,476.4,600,773.4
Paid Subscriptions,streaming/service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.9,242.1,267.2,243.4,227.5,230.6,260.8,412.3,649.6,799.1
On-Demand Streaming,streaming/service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.8,176.2,223.6,294.8
Synchronization,streaming/service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,204.9,206.8,196.5,192.8,189.7
